feature,nan_frac,n_unique,var,auc_single_feature
in_hospital_mortality_orig,0.0,2,0.12244897959183676,1.0
in_hospital_mortality_der,0.0,2,0.12244897959183676,1.0
item_50912_pct_abnormal,0.02142857142857143,18,0.20591476340677703,0.8450980392156862
item_50912_std,0.21428571428571427,81,0.28700971746142356,0.8295003965107058
item_51006_last,0.02142857142857143,52,524.7378123501519,0.8213235294117647
item_50868_mean,0.02142857142857143,84,13.414431682689269,0.8169117647058823
in_icu_mortality_orig,0.0,2,0.0783673469387755,0.8
in_icu_mortality_der,0.0,2,0.0783673469387755,0.8
item_51006_mean,0.02142857142857143,106,379.6018733308013,0.7950980392156863
item_51006_max,0.02142857142857143,55,804.4047098939741,0.7943627450980392
item_50868_last,0.02142857142857143,23,21.22638393094997,0.7916666666666667
item_50868_max,0.02142857142857143,26,29.195375352975653,0.7845588235294118
item_51006_std,0.21428571428571427,96,51.45566063475782,0.7731958762886597
item_51006_min,0.02142857142857143,47,240.90553572379991,0.766421568627451
item_50868_std,0.21428571428571427,82,2.2481553211068883,0.7589214908802537
item_50912_last,0.02142857142857143,40,2.2073813202621344,0.747549019607843
item_50912_max,0.02142857142857143,42,4.043807341893547,0.7438725490196078
item_51265_pct_abnormal,0.05,28,0.16495760661014366,0.7406186612576066
item_50912_mean,0.02142857142857143,99,2.3285742209442675,0.739950980392157
item_51006_pct_abnormal,0.02142857142857143,20,0.19695826684895162,0.7377450980392157
item_50868_pct_abnormal,0.02142857142857143,21,0.060159295937924726,0.7372549019607842
item_50970_last,0.04285714285714286,55,2.1030145912229896,0.7325289089994972
item_50970_mean,0.04285714285714286,106,1.623001859952695,0.7300150829562594
item_51006_slope,0.21428571428571427,110,0.12784530277971748,0.725614591593973
item_50912_min,0.02142857142857143,31,1.529178965315147,0.7200980392156863
item_50970_max,0.04285714285714286,55,3.7511160614836263,0.7124183006535948
item_51250_max,0.05,31,47.996381932274296,0.7036004056795132
item_50983_pct_abnormal,0.014285714285714285,29,0.0978856725618421,0.7032407407407408
item_50971_max,0.014285714285714285,31,0.6238988657844992,0.7023148148148147
item_50970_count_orig,0.04285714285714286,24,63.82535085765204,0.7021116138763197
item_50970_count_der,0.04285714285714286,24,63.82535085765204,0.7021116138763197
item_50893_count_orig,0.04285714285714286,24,62.332813544219206,0.6998491704374057
item_50893_count_der,0.04285714285714286,24,62.332813544219206,0.6998491704374057
item_50868_min,0.02142857142857143,18,12.30667590175289,0.6987745098039216
item_51301_count_der,0.05,23,51.90615636836451,0.6911764705882353
item_51301_count_orig,0.05,23,51.90615636836451,0.6911764705882353
item_51249_count_orig,0.05,23,46.55695630052575,0.6906693711967546
item_51248_count_der,0.05,23,46.55695630052575,0.6906693711967546
item_51248_count_orig,0.05,23,46.55695630052575,0.6906693711967546
item_51250_count_orig,0.05,23,46.55695630052575,0.6906693711967546
item_51249_count_der,0.05,23,46.55695630052575,0.6906693711967546
item_51279_count_orig,0.05,23,46.55695630052575,0.6906693711967546
item_51277_count_orig,0.05,23,46.16021256147889,0.6906693711967546
item_51277_count_der,0.05,23,46.16021256147889,0.6906693711967546
item_51250_count_der,0.05,23,46.55695630052575,0.6906693711967546
item_51279_count_der,0.05,23,46.55695630052575,0.6906693711967546
item_51222_count_der,0.05,23,52.598224885522086,0.688894523326572
item_51222_count_orig,0.05,23,52.598224885522086,0.688894523326572
item_51265_count_orig,0.05,25,57.115721634914344,0.688894523326572
item_50893_std,0.3142857142857143,91,0.06634689678845607,0.6877177700348431
item_50882_std,0.21428571428571427,84,2.518552200157366,0.6875495638382236
item_51265_count_der,0.05714285714285714,24,57.24030073461892,0.6861892583120204
item_50960_count_orig,0.03571428571428571,26,62.88636488340193,0.6859421734795613
item_50960_count_der,0.03571428571428571,26,62.88636488340193,0.6859421734795613
item_50931_count_der,0.02142857142857143,26,74.94251158825723,0.6833333333333333
item_50931_count_orig,0.02142857142857143,26,74.94251158825723,0.6833333333333333
item_50902_pct_abnormal,0.014285714285714285,34,0.1275366745962284,0.6782407407407407
item_50912_slope,0.21428571428571427,110,0.0012907833598435124,0.6748612212529739
item_50882_count_der,0.02142857142857143,26,74.85971548830518,0.6747549019607844
item_50882_count_orig,0.02142857142857143,26,74.85971548830518,0.6747549019607844
item_51006_delta,0.02142857142857143,45,339.5117480952635,0.6745098039215686
item_50971_pct_abnormal,0.014285714285714285,26,0.03815980792491475,0.6743055555555555
item_51006_count_orig,0.02142857142857143,25,64.97085619905162,0.6742647058823529
item_51006_count_der,0.02142857142857143,25,64.97085619905162,0.6742647058823529
item_50868_count_der,0.02142857142857143,24,74.58244978421865,0.6742647058823529
item_50868_count_orig,0.02142857142857143,24,74.58244978421865,0.6742647058823529
item_50912_count_der,0.02142857142857143,26,65.40540252544088,0.6735294117647058
item_50912_count_orig,0.02142857142857143,26,65.40540252544088,0.6735294117647058
item_51250_last,0.05,30,45.571372039120355,0.6688640973630832
item_51221_count_der,0.05,24,56.15094126293176,0.6668356997971603
item_51221_count_orig,0.05,24,56.15094126293176,0.6668356997971603
item_51250_std,0.22857142857142856,78,0.6367130164428213,0.6647773279352227
item_50960_max,0.03571428571428571,22,0.9093739368998629,0.6635094715852442
item_51250_mean,0.05,93,44.738467454027735,0.6627789046653144
item_50912_delta,0.02142857142857143,42,1.3071330385209654,0.6617647058823529
item_50971_mean,0.014285714285714285,96,0.2318849518507768,0.6611111111111111
item_50893_max,0.04285714285714286,27,0.4289195811984852,0.6608848667672197
item_51277_std,0.22857142857142856,103,0.17263198263937513,0.6558704453441296
item_50971_std,0.21428571428571427,109,0.03894742524478737,0.6526566217287867
item_51277_delta,0.05,49,1.8287726835886713,0.6490872210953348
item_50983_count_orig,0.014285714285714285,26,77.626759084226,0.6375
